NO_LAPORAN,TGL_LAPORAN,MO,MO_clean,MO_casefold,MO_normalized,MO_tokens,MO_stopwords,MO_tokens_stemmed,MO_final_text
LP/B/01/I/2021/Kalbar/Res Mpw/Sek Sui Pinyuh,1 Januari 2021,"Pelaku merasa tersinggung dengan tatapan korban saat berpapasan di jalan, lalu memukul wajah korban dengan tangan kosong.",Pelaku merasa tersinggung dengan tatapan korban saat berpapasan di jalan lalu memukul wajah korban dengan tangan kosong,pelaku merasa tersinggung dengan tatapan korban saat berpapasan di jalan lalu memukul wajah korban dengan tangan kosong,pelaku merasa tersinggung dengan tatapan korban saat berpapasan di jalan lalu memukul wajah korban dengan tangan kosong,"['pelaku', 'merasa', 'tersinggung', 'dengan', 'tatapan', 'korban', 'saat', 'berpapasan', 'di', 'jalan', 'lalu', 'memukul', 'wajah', 'korban', 'dengan', 'tangan', 'kosong']","['pelaku', 'tersinggung', 'tatapan', 'korban', 'berpapasan', 'jalan', 'memukul', 'wajah', 'korban', 'tangan', 'kosong']","['pelaku', 'singgung', 'tatap', 'korban', 'papas', 'jalan', 'pukul', 'wajah', 'korban', 'tangan', 'kosong']",pelaku singgung tatap korban papas jalan pukul wajah korban tangan kosong
LP/B/02/I/2021/Kalbar/Res Mpw/Sek Sui Pinyuh,1 Januari 2021,"Pelaku berpura-pura menjadi tamu/pembeli, saat korban lengah pelaku membawa lari motor korban.",Pelaku berpura pura menjadi tamu pembeli saat korban lengah pelaku membawa lari motor korban,pelaku berpura pura menjadi tamu pembeli saat korban lengah pelaku membawa lari motor korban,pelaku berpura pura menjadi tamu pembeli saat korban lengah pelaku membawa lari motor korban,"['pelaku', 'berpura', 'pura', 'menjadi', 'tamu', 'pembeli', 'saat', 'korban', 'lengah', 'pelaku', 'membawa', 'lari', 'motor', 'korban']","['pelaku', 'berpura', 'pura', 'tamu', 'pembeli', 'korban', 'lengah', 'pelaku', 'membawa', 'lari', 'motor', 'korban']","['pelaku', 'pura', 'pura', 'tamu', 'pembeli', 'korban', 'lengah', 'pelaku', 'bawa', 'lari', 'motor', 'korban']",pelaku pura pura tamu pembeli korban lengah pelaku bawa lari motor korban
LP/B/03/I/2021/Kalbar/Res Mpw/Sek Sui Pinyuh,4 Januari 2021,"Pelaku berpura-pura menjadi tamu/pembeli, saat korban lengah pelaku menguras isi laci kasir.",Pelaku berpura pura menjadi tamu pembeli saat korban lengah pelaku menguras isi laci kasir,pelaku berpura pura menjadi tamu pembeli saat korban lengah pelaku menguras isi laci kasir,pelaku berpura pura menjadi tamu pembeli saat korban lengah pelaku menguras isi laci kasir,"['pelaku', 'berpura', 'pura', 'menjadi', 'tamu', 'pembeli', 'saat', 'korban', 'lengah', 'pelaku', 'menguras', 'isi', 'laci', 'kasir']","['pelaku', 'berpura', 'pura', 'tamu', 'pembeli', 'korban', 'lengah', 'pelaku', 'menguras', 'isi', 'laci', 'kasir']","['pelaku', 'pura', 'pura', 'tamu', 'pembeli', 'korban', 'lengah', 'pelaku', 'menguras', 'isi', 'laci', 'kasir']",pelaku pura pura tamu pembeli korban lengah pelaku menguras isi laci kasir
LP/B/04/I/2021/Kalbar/Res Mpw/Sek Sui Pinyuh,5 Januari 2021,"Petugas mencurigai gerak-gerik pelaku di pinggir jalan, saat digeledah ditemukan 2 paket ganja kering siap edar yang disembunyikan di dalam bungkus rokok.",Petugas mencurigai gerak gerik pelaku di pinggir jalan saat digeledah ditemukan paket ganja kering siap edar yang disembunyikan di dalam bungkus rokok,petugas mencurigai gerak gerik pelaku di pinggir jalan saat digeledah ditemukan paket ganja kering siap edar yang disembunyikan di dalam bungkus rokok,petugas mencurigai gerak gerik pelaku di pinggir jalan saat digeledah ditemukan paket ganja kering siap edar yang disembunyikan di dalam bungkus rokok,"['petugas', 'mencurigai', 'gerak', 'gerik', 'pelaku', 'di', 'pinggir', 'jalan', 'saat', 'digeledah', 'ditemukan', 'paket', 'ganja', 'kering', 'siap', 'edar', 'yang', 'disembunyikan', 'di', 'dalam', 'bungkus', 'rokok']","['petugas', 'mencurigai', 'gerak', 'gerik', 'pelaku', 'pinggir', 'jalan', 'digeledah', 'ditemukan', 'paket', 'ganja', 'kering', 'edar', 'disembunyikan', 'bungkus', 'rokok']","['petugas', 'curiga', 'gerak', 'gerik', 'pelaku', 'pinggir', 'jalan', 'geledah', 'temu', 'paket', 'ganja', 'kering', 'edar', 'sembunyi', 'bungkus', 'rokok']",petugas curiga gerak gerik pelaku pinggir jalan geledah temu paket ganja kering edar sembunyi bungkus rokok
LP/B/05/I/2021/Kalbar/Res Mpw/Sek Sui Pinyuh,5 Januari 2021,"Petugas mencurigai gerak-gerik pelaku di pinggir jalan, saat digeledah ditemukan 2 paket ganja kering siap edar yang disembunyikan di bawah jok motor.",Petugas mencurigai gerak gerik pelaku di pinggir jalan saat digeledah ditemukan paket ganja kering siap edar yang disembunyikan di bawah jok motor,petugas mencurigai gerak gerik pelaku di pinggir jalan saat digeledah ditemukan paket ganja kering siap edar yang disembunyikan di bawah jok motor,petugas mencurigai gerak gerik pelaku di pinggir jalan saat digeledah ditemukan paket ganja kering siap edar yang disembunyikan di bawah jok motor,"['petugas', 'mencurigai', 'gerak', 'gerik', 'pelaku', 'di', 'pinggir', 'jalan', 'saat', 'digeledah', 'ditemukan', 'paket', 'ganja', 'kering', 'siap', 'edar', 'yang', 'disembunyikan', 'di', 'bawah', 'jok', 'motor']","['petugas', 'mencurigai', 'gerak', 'gerik', 'pelaku', 'pinggir', 'jalan', 'digeledah', 'ditemukan', 'paket', 'ganja', 'kering', 'edar', 'disembunyikan', 'jok', 'motor']","['petugas', 'curiga', 'gerak', 'gerik', 'pelaku', 'pinggir', 'jalan', 'geledah', 'temu', 'paket', 'ganja', 'kering', 'edar', 'sembunyi', 'jok', 'motor']",petugas curiga gerak gerik pelaku pinggir jalan geledah temu paket ganja kering edar sembunyi jok motor
LP/B/06/I/2021/Kalbar/Res Mpw/Sek Sui Pinyuh,5 Januari 2021,"Pelaku merusak kunci stang motor menggunakan kunci T saat motor diparkir di Gg. Damai RT 20/RW 05, Galang, Kec. Sungai Pinyuh, Kab. Mempawah, lalu membawanya kabur.",Pelaku merusak kunci stang motor menggunakan kunci T saat motor diparkir di Gg Damai RT RW Galang Kec Sungai Pinyuh Kab Mempawah lalu membawanya kabur,pelaku merusak kunci stang motor menggunakan kunci t saat motor diparkir di gg damai rt rw galang kec sungai pinyuh kab mempawah lalu membawanya kabur,pelaku merusak kunci stang motor menggunakan kunci t saat motor diparkir di gang damai rukun tetangga rukun warga galang kecamatan sungai pinyuh kabupaten mempawah lalu membawanya kabur,"['pelaku', 'merusak', 'kunci', 'stang', 'motor', 'menggunakan', 'kunci', 't', 'saat', 'motor', 'diparkir', 'di', 'gang', 'damai', 'rukun', 'tetangga', 'rukun', 'warga', 'galang', 'kecamatan', 'sungai', 'pinyuh', 'kabupaten', 'mempawah', 'lalu', 'membawanya', 'kabur']","['pelaku', 'merusak', 'kunci', 'stang', 'motor', 'kunci', 'motor', 'diparkir', 'gang', 'damai', 'rukun', 'tetangga', 'rukun', 'warga', 'galang', 'kecamatan', 'sungai', 'pinyuh', 'kabupaten', 'mempawah', 'membawanya', 'kabur']","['pelaku', 'rusak', 'kunci', 'stang', 'motor', 'kunci', 'motor', 'parkir', 'gang', 'damai', 'rukun', 'tetangga', 'rukun', 'warga', 'galang', 'camat', 'sungai', 'pinyuh', 'kabupaten', 'mempawah', 'bawa', 'kabur']",pelaku rusak kunci stang motor kunci motor parkir gang damai rukun tetangga rukun warga galang camat sungai pinyuh kabupaten mempawah bawa kabur
LP/B/08/I/2021/Kalbar/Res Mpw/Sek Sui Pinyuh,9 Januari 2021,Pelaku merusak halaman korban akibat sengketa tanah,Pelaku merusak halaman korban akibat sengketa tanah,pelaku merusak halaman korban akibat sengketa tanah,pelaku merusak halaman korban akibat sengketa tanah,"['pelaku', 'merusak', 'halaman', 'korban', 'akibat', 'sengketa', 'tanah']","['pelaku', 'merusak', 'halaman', 'korban', 'akibat', 'sengketa', 'tanah']","['pelaku', 'rusak', 'halaman', 'korban', 'akibat', 'sengketa', 'tanah']",pelaku rusak halaman korban akibat sengketa tanah
LP/B/09/I/2021/Kalbar/Res Mpw/Sek Sui Pinyuh,13 Januari 2021,"Pelaku menawarkan sepeda motor lelang kepada korban dengan harga murah, korban mentransfer uang namun barang tidak pernah dikirim.",Pelaku menawarkan sepeda motor lelang kepada korban dengan harga murah korban mentransfer uang namun barang tidak pernah dikirim,pelaku menawarkan sepeda motor lelang kepada korban dengan harga murah korban mentransfer uang namun barang tidak pernah dikirim,pelaku menawarkan sepeda motor lelang kepada korban dengan harga murah korban mentransfer uang namun barang tidak pernah dikirim,"['pelaku', 'menawarkan', 'sepeda', 'motor', 'lelang', 'kepada', 'korban', 'dengan', 'harga', 'murah', 'korban', 'mentransfer', 'uang', 'namun', 'barang', 'tidak', 'pernah', 'dikirim']","['pelaku', 'menawarkan', 'sepeda', 'motor', 'lelang', 'korban', 'harga', 'murah', 'korban', 'mentransfer', 'uang', 'barang', 'dikirim']","['pelaku', 'tawar', 'sepeda', 'motor', 'lelang', 'korban', 'harga', 'murah', 'korban', 'transfer', 'uang', 'barang', 'kirim']",pelaku tawar sepeda motor lelang korban harga murah korban transfer uang barang kirim
LP/B/11/I/2021/Kalbar/Res Mpw/Sek Sui Pinyuh,16 Januari 2021,"Berdasarkan informasi warga, petugas melakukan penggerebekan di Jl. Raya Sungai Pinyuh RT 06/RW 08, Galang, Kec. Sungai Pinyuh, Kab. Mempawah dan mendapati pelaku sedang menimbang sabu ke dalam paket kecil.",Berdasarkan informasi warga petugas melakukan penggerebekan di Jl Raya Sungai Pinyuh RT RW Galang Kec Sungai Pinyuh Kab Mempawah dan mendapati pelaku sedang menimbang sabu ke dalam paket kecil,berdasarkan informasi warga petugas melakukan penggerebekan di jl raya sungai pinyuh rt rw galang kec sungai pinyuh kab mempawah dan mendapati pelaku sedang menimbang sabu ke dalam paket kecil,berdasarkan informasi warga petugas melakukan penggerebekan di jalan raya sungai pinyuh rukun tetangga rukun warga galang kecamatan sungai pinyuh kabupaten mempawah dan mendapati pelaku sedang menimbang sabu ke dalam paket kecil,"['berdasarkan', 'informasi', 'warga', 'petugas', 'melakukan', 'penggerebekan', 'di', 'jalan', 'raya', 'sungai', 'pinyuh', 'rukun', 'tetangga', 'rukun', 'warga', 'galang', 'kecamatan', 'sungai', 'pinyuh', 'kabupaten', 'mempawah', 'dan', 'mendapati', 'pelaku', 'sedang', 'menimbang', 'sabu', 'ke', 'dalam', 'paket', 'kecil']","['berdasarkan', 'informasi', 'warga', 'petugas', 'penggerebekan', 'jalan', 'raya', 'sungai', 'pinyuh', 'rukun', 'tetangga', 'rukun', 'warga', 'galang', 'kecamatan', 'sungai', 'pinyuh', 'kabupaten', 'mempawah', 'mendapati', 'pelaku', 'menimbang', 'sabu', 'paket']","['dasar', 'informasi', 'warga', 'petugas', 'gerebek', 'jalan', 'raya', 'sungai', 'pinyuh', 'rukun', 'tetangga', 'rukun', 'warga', 'galang', 'camat', 'sungai', 'pinyuh', 'kabupaten', 'mempawah', 'dapat', 'pelaku', 'timbang', 'sabu', 'paket']",dasar informasi warga petugas gerebek jalan raya sungai pinyuh rukun tetangga rukun warga galang camat sungai pinyuh kabupaten mempawah dapat pelaku timbang sabu paket
LP/B/12/I/2021/Kalbar/Res Mpw/Sek Sui Pinyuh,20 Januari 2021,Pelaku tertangkap tangan saat hendak melakukan transaksi narkoba jenis sabu dengan petugas yang menyamar.,Pelaku tertangkap tangan saat hendak melakukan transaksi narkoba jenis sabu dengan petugas yang menyamar,pelaku tertangkap tangan saat hendak melakukan transaksi narkoba jenis sabu dengan petugas yang menyamar,pelaku tertangkap tangan saat hendak melakukan transaksi narkoba jenis sabu dengan petugas yang menyamar,"['pelaku', 'tertangkap', 'tangan', 'saat', 'hendak', 'melakukan', 'transaksi', 'narkoba', 'jenis', 'sabu', 'dengan', 'petugas', 'yang', 'menyamar']","['pelaku', 'tertangkap', 'tangan', 'transaksi', 'narkoba', 'jenis', 'sabu', 'petugas', 'menyamar']","['pelaku', 'tangkap', 'tangan', 'transaksi', 'narkoba', 'jenis', 'sabu', 'petugas', 'samar']",pelaku tangkap tangan transaksi narkoba jenis sabu petugas samar
LP/B/13/I/2021/Kalbar/Res Mpw/Sek Sui Pinyuh,20 Januari 2021,"Pelaku melihat 1 unit HP Samsung Galaxy yang diletakkan korban di Dusun Melati, Sungai Bakau Besar Darat, Kec. Sungai Pinyuh, kemudian dengan cepat mengambil barang berharga tersebut.",Pelaku melihat unit HP Samsung Galaxy yang diletakkan korban di Dusun Melati Sungai Bakau Besar Darat Kec Sungai Pinyuh kemudian dengan cepat mengambil barang berharga tersebut,pelaku melihat unit hp samsung galaxy yang diletakkan korban di dusun melati sungai bakau besar darat kec sungai pinyuh kemudian dengan cepat mengambil barang berharga tersebut,pelaku melihat unit handphone samsung galaxy yang diletakkan korban di dusun melati sungai bakau besar darat kecamatan sungai pinyuh kemudian dengan cepat mengambil barang berharga tersebut,"['pelaku', 'melihat', 'unit', 'handphone', 'samsung', 'galaxy', 'yang', 'diletakkan', 'korban', 'di', 'dusun', 'melati', 'sungai', 'bakau', 'besar', 'darat', 'kecamatan', 'sungai', 'pinyuh', 'kemudian', 'dengan', 'cepat', 'mengambil', 'barang', 'berharga', 'tersebut']","['pelaku', 'unit', 'handphone', 'samsung', 'galaxy', 'diletakkan', 'korban', 'dusun', 'melati', 'sungai', 'bakau', 'darat', 'kecamatan', 'sungai', 'pinyuh', 'cepat', 'mengambil', 'barang', 'berharga']","['pelaku', 'unit', 'handphone', 'samsung', 'galaxy', 'letak', 'korban', 'dusun', 'melati', 'sungai', 'bakau', 'darat', 'camat', 'sungai', 'pinyuh', 'cepat', 'ambil', 'barang', 'harga']",pelaku unit handphone samsung galaxy letak korban dusun melati sungai bakau darat camat sungai pinyuh cepat ambil barang harga
LP/B/14/I/2021/Kalbar/Res Mpw/Sek Sui Pinyuh,20 Januari 2021,"Terjadi perselisihan di jalan raya, pelaku turun dari motor dan melempar kaca jendela hingga pecah mobil korban.",Terjadi perselisihan di jalan raya pelaku turun dari motor dan melempar kaca jendela hingga pecah mobil korban,terjadi perselisihan di jalan raya pelaku turun dari motor dan melempar kaca jendela hingga pecah mobil korban,terjadi perselisihan di jalan raya pelaku turun dari motor dan melempar kaca jendela hingga pecah mobil korban,"['terjadi', 'perselisihan', 'di', 'jalan', 'raya', 'pelaku', 'turun', 'dari', 'motor', 'dan', 'melempar', 'kaca', 'jendela', 'hingga', 'pecah', 'mobil', 'korban']","['perselisihan', 'jalan', 'raya', 'pelaku', 'turun', 'motor', 'melempar', 'kaca', 'jendela', 'pecah', 'mobil', 'korban']","['selisih', 'jalan', 'raya', 'pelaku', 'turun', 'motor', 'lempar', 'kaca', 'jendela', 'pecah', 'mobil', 'korban']",selisih jalan raya pelaku turun motor lempar kaca jendela pecah mobil korban
